FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_10_10-11-03.000.avi,52950,40:30.0,,34.279,3.026,4334.302,10.215,,,187.17,724.049,-4269.296,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,34,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,53657,40:53.5,688.228,133.219,2.376,7766.613,31.809,13.079,6.83,2788.604,2997.028,-6600.135,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,35,AD,Fish milling/hovering,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,54408,41:18.5,,22.739,3.887,3394.915,24.838,,,-1400.626,252.481,-3082.198,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,36,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,56232,42:19.3,,34.285,2.568,4242.473,16.299,,,157.374,1159.688,-4077.859,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,37,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,57386,42:57.8,,22.596,0.028,3317.456,29.682,,,1463.675,731.283,-2885.896,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,38,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,58575,43:37.4,,24.61,4.935,3462.566,22.031,,,-1223.273,-452.675,-3207.499,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,39,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,59020,43:52.3,,83.56,0.746,6311.443,29.366,,,1621.694,2608.415,-5513.673,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yellowtail,155,155,40,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,59599,44:11.6,,43.058,1.67,4870.455,10.882,,,-126.687,886.587,-4787.405,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,41,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,61748,45:23.2,,63.488,0.575,5798.408,35.419,,,2824.029,1797.604,-4734.45,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yellowtail,155,155,42,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,61862,45:27.0,488.032,108.863,8.153,4697.545,8.515,49.957,0.345,-484.08,-499.436,-4645.768,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,yelloweye,145,145,43,AD,Fish resting on bottom,,
