Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,37582,16:58:48,0:58:48,,,,97.693,0.522,6827.173,26.214,,,-1827.061,2387.387,-6129.643,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,49,AD,Fish milling/hovering,,,
SL_FW_Dive_33_16-37-42.838.avi,37623,16:58:49,0:58:49,,,540.145,65.481,3.716,5989.072,25.661,4.164,17.738,-1797.855,1869.282,-5398.378,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,49,AD,,,poor precision bc fish far away ,
SL_FW_Dive_33_16-37-42.838.avi,38424,16:59:16,0:59:16,,,,25.327,4.212,3733.719,30.039,,,-1865.603,107.585,-3232.43,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,50,,,,,
SL_FW_Dive_33_16-37-42.838.avi,38610,16:59:22,0:59:22,,,,12.971,8.578,2690.523,7.707,,,-356.865,48.161,-2666.317,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,51,,,,,
SL_FW_Dive_33_16-37-42.838.avi,38742,16:59:26,0:59:26,,,,18.899,6.728,3093.961,19.34,,,1019.711,94.953,-2919.549,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,52,,,,,
SL_FW_Dive_33_16-37-42.838.avi,39000,16:59:35,0:59:35,,,,11.131,1.321,2303.636,21.152,,,-598.326,-581.176,-2147.319,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,53,,,,no length fish curved,
SL_FW_Dive_33_16-37-42.838.avi,39289,16:59:45,0:59:45,,,,19.701,5.469,3152.906,25.169,,,1336.625,101.527,-2853.759,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,54,,,,,
SL_FW_Dive_33_16-37-42.838.avi,40532,17:00:26,1:00:26,,,,22.708,6.903,3588.964,7.296,,,-107.924,435.96,-3560.751,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,55,,,,,
SL_FW_Dive_33_16-37-42.838.avi,40536,17:00:26,1:00:26,,,,48.819,4.492,4886.838,17.183,,,1028.118,1004.552,-4670.656,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,56,,,,,
SL_FW_Dive_33_16-37-42.838.avi,41945,17:01:13,1:01:13,,,,23.818,9.528,3516.049,21.645,,,-1296.846,8.618,-3268.136,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,57,,,,,
SL_FW_Dive_33_16-37-42.838.avi,43426,17:02:02,1:02:03,,,,83.349,11.576,6295.364,24.89,,,-1878.091,1857.976,-5714.22,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,58,AD,Fish milling/hovering,,"gravid!, RMS > 10",
SL_FW_Dive_33_16-37-42.838.avi,43560,17:02:07,1:02:07,,,631.813,56.136,2.861,4298.407,28.079,47.367,43.11,-1934.589,592.298,-3792.473,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,58,AD,,,precision and angle poor,
SL_FW_Dive_33_16-37-42.838.avi,44177,17:02:28,1:02:28,,,,18.937,6.324,3084.246,24.165,,,-1233.564,-274.636,-2813.444,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,59,,,,,
SL_FW_Dive_33_16-37-42.838.avi,44487,17:02:38,1:02:38,,,,15.227,6.972,2811.289,11.299,,,424.779,-355.996,-2756.116,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,60,,,,,
SL_FW_Dive_33_16-37-42.838.avi,44630,17:02:43,1:02:43,,,,15.412,5.744,2981.549,4.751,,,79.7,-239.461,-2970.848,1,Kristen Green ,0,,2015,33,1,,,,,,greenling,lingcod,130,130,61,,,,"no length, fish body hidden",
SL_FW_Dive_33_16-37-42.838.avi,45375,17:03:07,1:03:07,,,,20.495,1.468,3383.718,7.266,,,-351.289,237.954,-3357.011,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,tiger,148,148,62,,,,,
SL_FW_Dive_33_16-37-42.838.avi,45447,17:03:10,1:03:10,,,,12.975,4.042,2531.461,28.073,,,-1090.56,-483.767,-2232.698,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,63,,,,,
SL_FW_Dive_33_16-37-42.838.avi,45541,17:03:13,1:03:13,,,,37.698,9.735,4382.98,13.544,,,696.176,746.104,-4262.532,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,64,,,,,
SL_FW_Dive_33_16-37-42.838.avi,45917,17:03:25,1:03:26,,,,25.044,3.226,3798.853,5.754,,,-164.31,336.324,-3780.367,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,65,,,,,
SL_FW_Dive_33_16-37-42.838.avi,46236,17:03:36,1:03:36,,,,57.717,3.329,5247.348,23.612,,,-1337.879,1611.705,-4811.148,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,66,AD,Fish milling/hovering,,,
SL_FW_Dive_33_16-37-42.838.avi,46392,17:03:41,1:03:41,,,536.059,48.046,6.938,3407.465,25.472,68.438,35.645,-1460.438,121.268,-3076.237,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,66,AD,,,poor precision and angle,
SL_FW_Dive_33_16-37-42.838.avi,48385,17:04:48,1:04:48,,,,24.867,5.212,3787.088,5.285,,,224.26,259.875,-3771.499,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,67,,,,,
SL_FW_Dive_33_16-37-42.838.avi,48936,17:05:06,1:05:06,,,,26.387,3.883,3703.749,17.124,,,-1084.196,-124.024,-3539.336,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,68,,,,,
SL_FW_Dive_33_16-37-42.838.avi,50491,17:05:58,1:05:58,,,,28.749,0.343,3820.382,22.047,,,1433.153,-57.23,-3540.92,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,69,,,,,
SL_FW_Dive_33_16-37-42.838.avi,50833,17:06:09,1:06:09,,,,20.943,4.007,3444.453,6.321,,,-274.932,254.586,-3424.011,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,70,,,,,
