FILENAME,FRAME,TIME_MINS,PERIOD,PERIOD_TIME_MINS,LENGTH_MM,PRECISION,RMS_1_MM,RMS_2_MM,RANGE_MM,DIRECTION_DEG,HORZ_DIR_DEG,VERT_DIR_DEG,MID_X_MM,MID_Y_MM,MID_Z_MM,OPCODE,TAPE_READER,DEPTH_NOT_USED,TRIP_COMMENT,YEAR,DIVE_NO,TRANSECT_NO,USER_DEF_4,USER_DEF_5,USER_DEF_6,USER_DEF_7,USER_DEF_8,FAMILY,GENUS,SPECIES,CODE,SPECIMEN_NUMBER,STAGE,ACTIVITY,CHECK_ID,SPECIES_COMMENT,USER_DEF_ATTR
2012_6738_2_SL.avi,   4857,19.1508,,,,29,1.755,,4013.206,21.468,,,249.065,1366.249,-3765.256,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,3,,,,,
2012_6738_2_SL.avi,   4762,19.0979,,,,44,37.575,,3900.655,34.36,,,-1696.586,1332.785,-3249.675,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,4,,,,,
2012_6738_2_SL.avi,   5912,19.7375,,,,11,0.622,,2488.346,10.572,,,210.887,351.808,-2454.307,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,5,,,,,
2012_6738_2_SL.avi,   6027,19.8014,,,,143,76.931,,7253.355,31.791,,,-2958.302,2284.641,-6216.11,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,6,,,,,
2012_6738_2_SL.avi,   6156,19.8731,,,,28,3.491,,3682.581,23.223,,,-881.115,1080.628,-3408.414,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,7,,,,,
2012_6738_2_SL.avi,   6379,19.9972,,,,14,1.384,,2803.165,15.718,,,117.658,691.552,-2713.973,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,canary,146,146,8,,,,,
2012_6738_2_SL.avi,   7306,20.5127,,,,20,10.017,,3286.501,16.197,,,916.724,-62.803,-3155.433,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,rosethorn,150,150,9,,,,,
2012_6738_2_SL.avi,   7796,20.7852,,,,17,2.352,,2692.203,26.919,,,-999.951,-748.728,-2384.841,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,rosethorn,150,150,10,,,,,
2012_6738_2_SL.avi,12927,23.6386,,,467.476,27,1.818,6.044,2539.767,21.844,51.393,35.269,-942.737,14.179,-2358.275,1,Jenny Stahl,0,,2012,6738,2,,,,,,halibut,halibut,200,200,11,,,,,
2012_6738_2_SL.avi,  12989,23.673,,,,8,6.793,,1880.96,22.614,,,-643.948,-366.856,-1728.802,1,Jenny Stahl,0,,2012,6738,2,,,,,,halibut,halibut,200,200,11,,,,,
2012_6738_2_SL.avi,  18521,26.7494,,,,19,7.606,,2827.885,26.049,,,-1236.059,-174.551,-2537.444,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,quillback,147,147,12,,,,,
2012_6738_2_SL.avi,  20152,27.6565,,,,42,1.981,,4443.264,25.106,,,1797.362,481.701,-4034.854,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,rosethorn,150,150,13,,,,,
2012_6738_2_SL.avi,  22125,28.7537,,,,49,3.804,,4551.704,27.08,,,-1802.872,933.355,-4073.881,1,Jenny Stahl,0,,2012,6738,2,,,,,,rockfish,rosethorn,150,150,14,,,,,
