Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_17_16-48-44.000.avi,22194,17:01:24,61284,,,571,841,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,22551,17:01:36,61296,,,588,852,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_17_16-48-44.000.avi,52016,17:17:58,62278,,,590,855,QC,EricaEbert,80,N/A,2019,17,3,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,223,7:02:18,25338,,,592,848,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,24879,7:16:00,26160,,,576,826,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,25205,7:16:11,26171,,,584,846,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,54783,7:32:37,27157,,,576,835,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,55170,7:32:50,27170,,,590,848,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_18_07-02-08.000.avi,62939,7:37:09,27429,,,591,855,QC,EricaEbert,60,N/A,2019,18,18,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_19_08-20-26.000.avi,1441,8:21:15,30075,,,586,848,QC,EricaEbert,80,N/A,2019,19,21,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_19_08-20-26.000.avi,52104,8:49:24,31764,,,588,844,QC,EricaEbert,80,N/A,2019,19,21,Line,,,,,Bad,resting on bottom,BRB,BRB,1,AD,Passing,,,
SL_2019_EYKT_Dive_19_08-20-26.000.avi,52740,8:49:45,31785,,,617,869,QC,EricaEbert,80,N/A,2019,19,21,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_19_08-20-26.000.avi,74188,9:01:40,32500,,,582,843,QC,EricaEbert,80,N/A,2019,19,21,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_20_09-30-58.000.avi,150,9:31:04,34264,,,603,852,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_20_09-30-58.000.avi,21144,9:42:44,34964,,,603,856,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2019_EYKT_Dive_20_09-30-58.000.avi,21674,9:43:01,34981,,,591,839,QC,EricaEbert,80,N/A,2019,20,22,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
