YEAR,DIVE_NO,TRANSECT_NO,Dive_trans,DiveTrans,HP_line,Event_ID,Event_ID,Date,UTC time,Date_time,AST,Sec,QUALITY_CODE,START_END,COMMENTS,Segment
2012,6759,1,67591,67591,35,35_229_o,35_229_o_1,8/23/2012,03:30:26,8/23/12 3:30,19:30:26,70226,GGF,END,,1
2012,6759,2,67592,67592,36,36_239_o,36_239_o_1,8/23/2012,01:46:47,8/23/12 1:46,17:46:47,64007,GGF,START,,1
2012,6759,2,67592,67592,36,36_239_o,36_239_o_,8/23/2012,02:05:25,8/23/12 2:05,18:05:25,65125,BPV,,,
2012,6759,2,67592,67592,36,36_239_o,36_239_o_,8/23/2012,02:06:47,8/23/12 2:06,18:06:47,65207,GRB,,,
2012,6759,2,67592,67592,36,36_239_o,36_239_o_2,8/23/2012,02:07:10,8/23/12 2:07,18:07:10,65230,GGF,,should be clipped out,2
2012,6759,2,67592,67592,36,36_239_o,36_239_o_,8/23/2012,02:14:04,8/23/12 2:14,18:14:04,65644,BPV,,,
2012,6759,2,67592,67592,36,36_239_o,36_239_o_3,8/23/2012,02:19:12,8/23/12 2:19,18:19:12,65952,GGF,,,3
2012,6759,2,67592,67592,36,36_239_o,36_239_o_3,8/23/2012,02:23:53,8/23/12 2:23,18:23:53,66233,GGF,END,,3
2012,6761,1,67611,67611,39,39_173_o,39_173_o_1,8/26/2012,17:42:43,8/26/12 17:42,9:42:43,34963,GGF,START,,1
2012,6761,1,67611,67611,39,39_173_o,39_173_o_,8/26/2012,18:02:52,8/26/12 18:02,10:02:52,36172,BDO,,,
2012,6761,1,67611,67611,39,39_173_o,39_173_o_2,8/26/2012,18:03:00,8/26/12 18:03,10:03:00,36180,GGF,,,2
2012,6761,1,67611,67611,39,39_173_o,39_173_o_2,8/26/2012,18:15:01,8/26/12 18:15,10:15:01,36901,GGF,END,,2
2012,6761,2,67612,67612,40,40_159_o,40_159_o_1,8/26/2012,18:20:34,8/26/12 18:20,10:20:34,37234,GGF,START,,1
2012,6761,2,67612,67612,40,40_159_o,40_159_o_,8/26/2012,18:51:51,8/26/12 18:51,10:51:51,39111,BPV,,,
2012,6761,2,67612,67612,40,40_159_o,40_159_o_2,8/26/2012,18:51:57,8/26/12 18:51,10:51:57,39117,GGF,,,2
2012,6761,2,67612,67612,40,40_159_o,40_159_o_2,8/26/2012,18:54:36,8/26/12 18:54,10:54:36,39276,GGF,END,,2
2012,6762,1,67621,67621,41,41_187_o,41_187_o_1,8/26/2012,15:47:17,8/26/12 15:47,7:47:17,28037,GGF,START,,1
2012,6762,1,67621,67621,41,41_187_o,41_187_o_,8/26/2012,16:03:40,8/26/12 16:03,8:03:40,29020,BPV,,,
2012,6762,1,67621,67621,41,41_187_o,41_187_o_2,8/26/2012,16:03:42,8/26/12 16:03,8:03:42,29022,GGF,,,2
2012,6762,1,67621,67621,41,41_187_o,41_187_o_,8/26/2012,16:09:52,8/26/12 16:09,8:09:52,29392,BPV,,,
2012,6762,1,67621,67621,41,41_187_o,41_187_o_3,8/26/2012,16:10:05,8/26/12 16:10,8:10:05,29405,GGF,,,3
2012,6762,1,67621,67621,41,41_187_o,41_187_o_3,8/26/2012,16:14:09,8/26/12 16:14,8:14:09,29649,GGF,END,,3
2012,6762,2,67622,67622,42,42_240_o,42_240_o_1,8/26/2012,16:20:59,8/26/12 16:20,8:20:59,30059,GGF,START,,1
2012,6762,2,67622,67622,42,42_240_o,42_240_o_,8/26/2012,16:21:46,8/26/12 16:21,8:21:46,30106,GRB,,,
2012,6762,2,67622,67622,42,42_240_o,42_240_o_2,8/26/2012,16:22:21,8/26/12 16:22,8:22:21,30141,GGF,,,2
2012,6762,2,67622,67622,42,42_240_o,42_240_o_,8/26/2012,16:50:35,8/26/12 16:50,8:50:35,31835,BPV,,,
2012,6762,2,67622,67622,42,42_240_o,42_240_o_3,8/26/2012,16:50:41,8/26/12 16:50,8:50:41,31841,GGF,,,3
