Dive_Id,Date,Time_AKDT,TC (UTC),UTC time,,Start_End,Comments,YE cnt,Jenny comments
,,14:38:39,22:38:39:02,22:38:39,,,tiger,,
,,14:39:44,22:39:44:21,22:39:44,,,tiger,,
,,14:47:48,22:47:48:17,22:47:48,,,lc,,
,,14:56:22,22:56:22:00,22:56:22,,,tiger,,
,,14:57:43,22:57:43:24,22:57:43,,,ye,1,
,,15:04:18,23:04:18:00,23:04:18,,E,,,
,,,,,,,,,
eykt_20,5/15/2017,15:42:06,23:42:06:27,23:42:06,,S,many shrimp entire dive,,
,,15:51:37,23:51:37:11,23:51:37,,,black cod?,,
,,16:19:33,00:19:33:01,00:19:33,,,many squat lobsters,,
,,16:22:36,00:22:36:23,00:22:36,,,Bathyraja,,
,,16:24:35,00:24:35:26,00:24:35,,E,,,
,,,,,,,,,
eykt_21,5/15/2017,17:04:23,01:04:23:26,01:04:23,,S,,,
,,17:04:34,01:04:34:07,01:04:34,,,"jye, 2ye",2,
,,17:06:05,01:06:05:04,01:06:05,,,ye,1,
,,17:07:54,01:07:54:26,01:07:54,,,lc,,
,,17:10:47,01:10:47:24,01:10:47,,,ye?,,
,,17:11:56,01:11:56:27,01:11:56,,,ye,1,
,,17:13:55,01:13:55:24,01:13:55,,,ye,1,
,,17:16:44,01:16:44:22,01:16:44,,,jye,,
,,17:17:50,01:17:50:29,01:17:50,,,tiger,,
,,17:18:14,01:18:14:29,01:18:14,,,tiger,,
,,17:18:45,01:18:45:15,01:18:45,,,tiger,,
,,17:19:09,01:19:09:15,01:19:09,,,ye,1,
,,17:22:24,01:22:24:24,01:22:24,,,ye,1,
,,17:23:13,01:23:13:29,01:23:13,,,tiger,,
,,17:23:23,01:23:23:07,01:23:23,,,tiger,,
,,17:26:37,01:26:37:15,01:26:37,,,ye,1,
,,17:28:45,01:28:45:10,01:28:45,,,ye,1,
,,17:32:33,01:32:33:13,01:32:33,,,halibut,,
,,17:35:42,01:35:42:01,01:35:42,,,ye,1,
,,17:40:51,01:40:51:13,01:40:51,,,ye,1,
,,17:43:19,01:43:19:21,01:43:19,,,ye,1,
,,17:44:09,01:44:09:02,01:44:09,,E,,,
,,,,,,,,,
eykt_22,5/15/2017,18:27:38,02:27:38:27,02:27:38,,S,,,
,,18:29:54,02:29:54:23,02:29:54,,,ye,1,"only in belly, fish slowly moving into frame, 3.5 ft"
,,18:30:18,02:30:18:14,02:30:18,,,ye,1,
,,18:31:43,02:31:43:29,02:31:43,,,ye,1,
,,18:33:08,02:33:08:09,02:33:08,,,ye,1,
